SAR_ID,Model_Type,Temperature,Configuration_Level,Total_Score
SAR 1,Llama,0.3,1,3.75
SAR 1,Llama,0.6,1,3.8
SAR 1,Llama,0.9,1,3.8
SAR 2,Llama,0.3,1,3.645
SAR 2,Llama,0.6,1,3.495
SAR 2,Llama,0.9,1,3.645
SAR 3,Llama,0.3,1,3.82
SAR 3,Llama,0.6,1,3.92
SAR 3,Llama,0.9,1,3.92
SAR 1,Llama,0.3,2,3.9
SAR 1,Llama,0.6,2,4
SAR 1,Llama,0.9,2,3.9
SAR 2,Llama,0.3,2,3.52
SAR 2,Llama,0.6,2,3.52
SAR 2,Llama,0.9,2,3.52
SAR 3,Llama,0.3,2,3.155
SAR 3,Llama,0.6,2,3.155
SAR 3,Llama,0.9,2,3.155
SAR 1,Llama,0.3,3,3.85
SAR 1,Llama,0.6,3,3.85
SAR 1,Llama,0.9,3,3.85
SAR 2,Llama,0.3,3,4
SAR 2,Llama,0.6,3,4
SAR 2,Llama,0.9,3,4
SAR 3,Llama,0.3,3,3.275
SAR 3,Llama,0.6,3,3.275
SAR 3,Llama,0.9,3,3.275
SAR 1,DeepSeek,0.3,1,3.85
SAR 1,DeepSeek,0.6,1,3.85
SAR 1,DeepSeek,0.9,1,3.85
SAR 2,DeepSeek,0.3,1,2.97
SAR 2,DeepSeek,0.6,1,3.495
SAR 2,DeepSeek,0.9,1,3.495
SAR 3,DeepSeek,0.3,1,3.77
SAR 3,DeepSeek,0.6,1,3.92
SAR 3,DeepSeek,0.9,1,3.52
SAR 1,DeepSeek,0.3,2,3.9
SAR 1,DeepSeek,0.6,2,3.9
SAR 1,DeepSeek,0.9,2,4
SAR 2,DeepSeek,0.3,2,3.37
SAR 2,DeepSeek,0.6,2,3.445
SAR 2,DeepSeek,0.9,2,3.095
SAR 3,DeepSeek,0.3,2,3.38
SAR 3,DeepSeek,0.6,2,3.305
SAR 3,DeepSeek,0.9,2,3.38
SAR 1,DeepSeek,0.3,3,3.85
SAR 1,DeepSeek,0.6,3,4
SAR 1,DeepSeek,0.9,3,3.85
SAR 2,DeepSeek,0.3,3,4
SAR 2,DeepSeek,0.6,3,4
SAR 2,DeepSeek,0.9,3,4
SAR 3,DeepSeek,0.3,3,3.575
SAR 3,DeepSeek,0.6,3,3.575
SAR 3,DeepSeek,0.9,3,4
